Algorithm,Qubits,Mutants,Add,Replace,Remove,gate_representation,position_representation,qubit_representation,params_representation
ae,2,21,9,8,4,"{'cp': 1, 's': 1, 'id': 1, 'cz': 1, 'u': 1, 'u3': 1, 'u2': 1, 'cx': 1, 'z': 1, 'x': 1, 'swap': 1, 'ry': 1, 'rzz': 1, 'y': 1, 'rx': 1, 'p': 1, 't': 1, 'sx': 1, 'rz': 1, 'h': 1, 'rxx': 1}","{'0': 11, '2': 5, '6': 1, '1': 1, '3': 1, '4': 1, '5': 1}","{'0': 18, '1': 3}","{'[]': 10, '': 4, '[0.7853981633974483]': 2, '[0.0]': 2, '[1.5707963267948966]': 2, '[4.71238898038469]': 1}"
ae,3,22,9,8,5,"{'u': 2, 'sx': 1, 'u3': 1, 'u2': 1, 'cx': 1, 'y': 1, 'rx': 1, 'z': 1, 't': 1, 'p': 1, 'rzz': 1, 'h': 1, 'rz': 1, 'ry': 1, 'cz': 1, 's': 1, 'cp': 1, 'rxx': 1, 'swap': 1, 'id': 1, 'x': 1}","{'0': 8, '11': 2, '9': 1, '13': 1, '10': 1, '5': 1, '3': 1, '6': 1, '12': 1, '1': 1, '7': 1, '2': 1, '4': 1, '8': 1}","{'0': 13, '2': 5, '1': 4}","{'[]': 10, '': 5, '[0.7853981633974483]': 2, '[3.141592653589793]': 1, '[3.9269908169872414]': 1, '[5.497787143782138]': 1, '[2.356194490192345]': 1, '[1.5707963267948966]': 1}"
ae,4,24,9,8,7,"{'cx': 3, 'u3': 2, 's': 1, 'ry': 1, 'u': 1, 'p': 1, 'u2': 1, 'rz': 1, 'swap': 1, 'z': 1, 'h': 1, 'cz': 1, 'rzz': 1, 'x': 1, 'rxx': 1, 'y': 1, 'cp': 1, 'id': 1, 't': 1, 'rx': 1, 'sx': 1}","{'0': 3, '2': 1, '6': 1, '21': 1, '7': 1, '3': 1, '14': 1, '8': 1, '4': 1, '12': 1, '1': 1, '18': 1, '17': 1, '11': 1, '19': 1, '9': 1, '16': 1, '10': 1, '13': 1, '5': 1, '15': 1, '20': 1}","{'0': 8, '3': 7, '1': 5, '2': 4}","{'[]': 10, '': 7, '[0.0]': 2, '[4.71238898038469]': 2, '[3.141592653589793]': 1, '[5.497787143782138]': 1, '[1.5707963267948966]': 1}"
ae,5,31,11,10,10,"{'cp': 5, 'h': 4, 'cx': 3, 'u3': 2, 'x': 1, 'p': 1, 'u': 1, 'y': 1, 'u2': 1, 'ry': 1, 'rzz': 1, 's': 1, 'z': 1, 't': 1, 'rxx': 1, 'rx': 1, 'sx': 1, 'id': 1, 'swap': 1, 'cz': 1, 'rz': 1}","{'28': 1, '23': 1, '9': 1, '14': 1, '18': 1, '4': 1, '2': 1, '12': 1, '1': 1, '20': 1, '19': 1, '7': 1, '5': 1, '13': 1, '26': 1, '21': 1, '11': 1, '8': 1, '3': 1, '30': 1, '25': 1, '29': 1, '15':...","{'4': 9, '0': 7, '1': 6, '2': 5, '3': 4}","{'[]': 13, '': 10, '[5.497787143782138]': 2, '[1.5707963267948966]': 1, '[4.71238898038469]': 1, '[2.356194490192345]': 1, '[0.7853981633974483]': 1, '[0.0]': 1, '[3.141592653589793]': 1}"
ae,6,41,14,13,14,"{'cp': 12, 'h': 7, 'u3': 3, 'cx': 2, 'y': 1, 'u2': 1, 'x': 1, 'rxx': 1, 'sx': 1, 'swap': 1, 'z': 1, 'rx': 1, 'u': 1, 'rz': 1, 's': 1, 'cz': 1, 'rzz': 1, 't': 1, 'ry': 1, 'p': 1, 'id': 1}","{'19': 1, '39': 1, '7': 1, '26': 1, '27': 1, '28': 1, '29': 1, '31': 1, '33': 1, '36': 1, '14': 1, '21': 1, '16': 1, '24': 1, '37': 1, '10': 1, '4': 1, '13': 1, '5': 1, '22': 1, '34': 1, '32': 1, ...","{'5': 11, '0': 8, '1': 7, '2': 6, '3': 5, '4': 4}","{'[]': 16, '': 14, '[2.356194490192345]': 3, '[3.9269908169872414]': 3, '[5.497787143782138]': 2, '[1.5707963267948966]': 1, '[4.71238898038469]': 1, '[3.141592653589793]': 1}"
ae,7,52,18,17,17,"{'cp': 17, 'h': 13, 'cx': 3, 'u2': 2, 'rxx': 1, 'x': 1, 'u3': 1, 'rz': 1, 's': 1, 't': 1, 'id': 1, 'rx': 1, 'rzz': 1, 'ry': 1, 'swap': 1, 'z': 1, 'cz': 1, 'sx': 1, 'p': 1, 'y': 1, 'u': 1}","{'13': 1, '21': 1, '10': 1, '39': 1, '31': 1, '32': 1, '33': 1, '34': 1, '35': 1, '42': 1, '24': 1, '38': 1, '40': 1, '46': 1, '22': 1, '43': 1, '47': 1, '15': 1, '30': 1, '1': 1, '41': 1, '48': 1...","{'6': 13, '0': 9, '1': 8, '2': 7, '3': 6, '4': 5, '5': 4}","{'[]': 21, '': 17, '[4.71238898038469]': 4, '[3.141592653589793]': 3, '[5.497787143782138]': 3, '[3.9269908169872414]': 2, '[0.7853981633974483]': 1, '[1.5707963267948966]': 1}"
ae,8,64,22,21,21,"{'cp': 23, 'h': 17, 'cx': 5, 'u2': 2, 'x': 1, 'y': 1, 'u': 1, 'u3': 1, 'id': 1, 'p': 1, 'sx': 1, 'ry': 1, 'rx': 1, 'rzz': 1, 'cz': 1, 'swap': 1, 'rz': 1, 't': 1, 'rxx': 1, 'z': 1, 's': 1}","{'22': 1, '59': 1, '12': 1, '5': 1, '13': 1, '11': 1, '63': 1, '7': 1, '1': 1, '42': 1, '48': 1, '53': 1, '24': 1, '60': 1, '35': 1, '29': 1, '3': 1, '10': 1, '31': 1, '6': 1, '8': 1, '15': 1, '30...","{'7': 15, '0': 10, '1': 9, '2': 8, '3': 7, '4': 6, '5': 5, '6': 4}","{'[]': 26, '': 21, '[2.356194490192345]': 5, '[5.497787143782138]': 3, '[4.71238898038469]': 2, '[3.9269908169872414]': 2, '[0.7853981633974483]': 2, '[3.141592653589793]': 2, '[0.0]': 1}"
ae,9,77,26,25,26,"{'cp': 30, 'h': 21, 'cx': 7, 'u3': 2, 'u2': 1, 't': 1, 'swap': 1, 'sx': 1, 'z': 1, 'rz': 1, 'rzz': 1, 'ry': 1, 'y': 1, 'x': 1, 'rxx': 1, 'rx': 1, 'id': 1, 's': 1, 'p': 1, 'cz': 1, 'u': 1}","{'52': 1, '49': 1, '5': 1, '65': 1, '62': 1, '58': 1, '54': 1, '19': 1, '51': 1, '47': 1, '30': 1, '46': 1, '45': 1, '44': 1, '43': 1, '42': 1, '41': 1, '38': 1, '69': 1, '74': 1, '13': 1, '73': 1...","{'8': 17, '0': 11, '1': 10, '2': 9, '3': 8, '4': 7, '5': 6, '6': 5, '7': 4}","{'[]': 30, '': 26, '[0.7853981633974483]': 6, '[0.0]': 5, '[2.356194490192345]': 3, '[3.9269908169872414]': 3, '[3.141592653589793]': 2, '[1.5707963267948966]': 1, '[5.497787143782138]': 1}"
ae,10,91,31,30,30,"{'cp': 36, 'h': 26, 'cx': 10, 'u2': 2, 'swap': 1, 'u3': 1, 's': 1, 'sx': 1, 'rz': 1, 'p': 1, 'z': 1, 'rxx': 1, 'ry': 1, 'rzz': 1, 'x': 1, 'id': 1, 'y': 1, 'cz': 1, 't': 1, 'rx': 1, 'u': 1}","{'10': 1, '76': 1, '68': 1, '65': 1, '61': 1, '58': 1, '55': 1, '53': 1, '52': 1, '51': 1, '50': 1, '49': 1, '48': 1, '47': 1, '46': 1, '17': 1, '26': 1, '22': 1, '16': 1, '0': 1, '9': 1, '72': 1,...","{'9': 19, '0': 12, '1': 11, '2': 10, '3': 9, '4': 8, '5': 7, '6': 6, '7': 5, '8': 4}","{'[]': 37, '': 30, '[0.7853981633974483]': 5, '[2.356194490192345]': 4, '[5.497787143782138]': 4, '[4.71238898038469]': 3, '[1.5707963267948966]': 3, '[3.141592653589793]': 3, '[0.0]': 1, '[3.9269..."
qft,2,18,8,8,2,"{'rxx': 1, 'id': 1, 'cz': 1, 'cx': 1, 'z': 1, 'cp': 1, 'swap': 1, 'h': 1, 'rzz': 1, 'x': 1, 's': 1, 'y': 1, 'rx': 1, 'rz': 1, 'p': 1, 'ry': 1, 't': 1, 'sx': 1}","{'0': 11, '1': 4, '3': 2, '2': 1}","{'1': 15, '0': 3}","{'[]': 9, '[4.71238898038469]': 3, '[3.141592653589793]': 2, '': 2, '[0.0]': 1, '[5.497787143782138]': 1}"
