name,qubits,gates,measurement_gates,depth,singlequbit_gates,multiqubit_gates,entangled_qubits
ae,2,8,2,6,5,3,0
ae,3,15,3,12,9,6,0
ae,4,23,4,18,13,10,0
ae,5,32,5,24,17,15,0
ae,6,42,6,30,21,21,0
ae,7,53,7,36,25,28,0
ae,8,65,8,42,29,36,0
ae,9,78,9,48,33,45,0
ae,10,92,10,54,37,55,0
qft,2,5,2,5,2,3,0
qft,3,8,3,7,3,5,0
qft,4,13,4,9,4,9,0
qft,5,18,5,11,5,13,0
qft,6,25,6,13,6,19,0
qft,7,32,7,15,7,25,0
qft,8,41,8,17,8,33,0
qft,9,50,9,19,9,41,0
qft,10,61,10,21,10,51,0
qftentangled,2,7,2,7,3,4,2
qftentangled,3,11,3,9,4,7,3
qftentangled,4,17,4,11,5,12,4
qftentangled,5,23,5,13,6,17,5
qftentangled,6,31,6,15,7,24,6
qftentangled,7,39,7,17,8,31,7
qftentangled,8,49,8,19,9,40,8
qftentangled,9,59,9,21,10,49,9
qftentangled,10,71,10,23,11,60,10
qpeexact,2,5,1,4,3,2,0
qpeexact,3,9,2,7,5,4,0
qpeexact,4,13,3,9,7,6,0
qpeexact,5,22,4,14,9,13,0
qpeexact,6,28,5,15,11,17,0
qpeexact,7,36,6,16,13,23,0
qpeexact,8,47,7,23,15,32,0
qpeexact,9,57,8,24,17,40,0
qpeexact,10,67,9,25,19,48,0
vqe,3,14,3,8,9,5,0
vqe,4,19,4,9,12,7,0
vqe,5,24,5,10,15,9,0
vqe,6,29,6,11,18,11,0
vqe,7,34,7,12,21,13,0
vqe,8,39,8,13,24,15,0
vqe,9,44,9,14,27,17,0
vqe,10,49,10,15,30,19,0
wstate,2,6,2,5,3,3,0
wstate,3,10,3,7,5,5,0
wstate,4,14,4,9,7,7,0
wstate,5,18,5,11,9,9,0
wstate,6,22,6,13,11,11,0
wstate,7,26,7,15,13,13,0
wstate,8,30,8,17,15,15,0
wstate,9,34,9,19,17,17,0
wstate,10,38,10,21,19,19,0
